candidate,party,counts,electorate
Scott YOUNG,Sustainable Australia - Stop overdevelopment. Stop corruption.,"[363, 367, 380, 386, 397, 634, 654, 769, 809, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
Bethany WILLIAMS,Canberra Progressives,"[1128, 1130, 1144, 1152, 1319, 1340, 1380, 1427, 1457, 1616, 1634, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
Mike STELZIG,Canberra Progressives,"[318, 319, 323, 325, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
Stephanie POLLARD,David Pollard Independent,"[319, 321, 334, 343, 368, 377, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
David POLLARD,David Pollard Independent,"[1410, 1415, 1441, 1443, 1468, 1476, 1677, 1711, 1786, 1907, 1913, 2234, 2234.358974, 2268.358974, 2268.358974, 2292.358974, 2292.358974, 2395.358974, 0.358974, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
Bernie BRENNAN,Animal Justice Party,"[310, 312, 316, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
Francine HORNE,Animal Justice Party,"[391, 393, 400, 601, 605, 611, 617, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
Deepak-Raj GUPTA,ACT Labor,"[3763, 3768, 3773, 3782, 3784, 3788, 3794, 3810, 3860, 3877, 3929, 3993, 3993.358974, 4308.358974, 4308.717948, 4535.717948, 4535.717948, 4651.717948, 4807.717948, 4807.717948, 5000.717948, 5466.717948, 5466.717948, 6187.717948, 6187.717948, 0.717948, 0, nan, nan, nan, nan]",yerrabi
Tom FISCHER,ACT Labor,"[1796, 1798, 1803, 1805, 1813, 1814, 1825, 1835, 1884, 1907, 1929, 1983, 1983.358974, 0.358974, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
Suzanne ORR,ACT Labor,"[4344, 4349, 4360, 4363, 4367, 4370, 4374, 4398, 4456, 4469, 4499, 4599, 4599, 4971, 4971, 5005, 5005, 5240, 5436, 5436, 5576, 5710, 5710, 7535, 7535, 9784, 9784, 9784, 8910, 8910, 8910]",yerrabi
Georgia PHILLIPS,ACT Labor,"[3273, 3278, 3286, 3291, 3296, 3298, 3304, 3323, 3376, 3401, 3428, 3513, 3513.358974, 3948.358974, 3948.358974, 3966.358974, 3966.358974, 4192.358974, 4342.358974, 4342.358974, 4440.358974, 4515.358974, 4515.358974, 0.358974, 0, nan, nan, nan, nan, nan, nan]",yerrabi
Michael PETTERSSON,ACT Labor,"[5086, 5091, 5101, 5109, 5113, 5118, 5124, 5148, 5219, 5249, 5311, 5389, 5390.435897, 5939.435897, 5939.435897, 5968.435897, 5968.435897, 6162.435897, 6366.435897, 6366.435897, 6526.435897, 6654.435897, 6654.435897, 7834.435897, 7834.435897, 9996.435897, 9996.435897, 8910, 8910, 8910, 8910]",yerrabi
Helen CROSS,Ungrouped,"[199, 212, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
Fuxin LI,Ungrouped,"[656, 664, 707, 709, 711, 712, 719, 748, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
Mohammad Munir HUSSAIN,Ungrouped,"[116, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",yerrabi
exhausted,nan,"[0.0, 3.0, 4.0, 6.0, 9.0, 10.0, 12.0, 35.0, 67.0, 133.0, 152.0, 266.0, 266.0, 289.0, 289.0, 334.0, 334.0, 495.0, 959.0, 959.0, 1155.0, 1403.0, 1403.0, 1627.0, 1627.0, 2320.0, 2320.0, 2320.0, 2320.0, 2320.0, 3917.0]",yerrabi
comment,nan,"['First preferences Mohammad Munir HUSSAIN to be excluded.', ' Helen CROSS to be excluded.', ' Bernie BRENNAN to be excluded.', ' Mike STELZIG to be excluded.', ' John KEARSLEY to be excluded.', ' Stephanie POLLARD to be excluded.', ' Francine HORNE to be excluded.', ' Fuxin LI to be excluded.', ' Scott YOUNG to be excluded.', ' Bernie STRANG to be excluded.', ' Bethany WILLIAMS to be excluded.', ' Alistair COE elected 1.', ' Tom FISCHER to be excluded.', ' Tom FISCHER fully excluded.', ' Krishna NADIMPALLI to be excluded.', ' Krishna NADIMPALLI fully excluded.', ' Olivia HELMORE to be excluded.', ' David POLLARD to be excluded.', ' David POLLARD fully excluded.', ' Mainul HAQUE to be excluded.', ' Jacob VADAKKEDATHU to be excluded.', ' Jacob VADAKKEDATHU fully excluded.', ' Georgia PHILLIPS to be excluded.', ' Georgia PHILLIPS fully excluded.', ' Deepak-Raj GUPTA to be excluded.', ' Michael PETTERSSON elected 2. Suzanne ORR elected 3. Deepak-Raj GUPTA fully excluded.', nan, nan, ' Andrew BRADDOCK elected 4.', ' James MILLIGAN to be excluded.', ' Leanne CASTLEY elected 5.']",yerrabi
